state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,Nicobar,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Andaman and Nicobar Island,AN,Nicobar,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",18.7,9.0,9.7
Andaman and Nicobar Island,AN,Nicobar,73,73. Children under 5 years who are stunted (height-for-age)18 (%),21.6,20.3,1.3
Andaman and Nicobar Island,AN,Nicobar,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),15.7,7.4,8.3
Andaman and Nicobar Island,AN,Nicobar,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),7.8,2.3,5.5
Andaman and Nicobar Island,AN,Nicobar,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),24.6,10.5,14.1
Andaman and Nicobar Island,AN,Nicobar,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),1.5,4.8,-3.3
Andaman and Nicobar Island,AN,Nicobar,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),8.2,4.5,3.7
Andaman and Nicobar Island,AN,Nicobar,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),39.1,18.7,20.4
Andaman and Nicobar Island,AN,Nicobar,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),62.5,,
Andaman and Nicobar Island,AN,Nicobar,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),37.7,50.5,-12.8
Andaman and Nicobar Island,AN,Nicobar,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),38.4,54.5,-16.1
Andaman and Nicobar Island,AN,Nicobar,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),,,
Andaman and Nicobar Island,AN,Nicobar,84,84. All women age 15-49 years who are anaemic22 (%),38.3,55.2,-16.9
Andaman and Nicobar Island,AN,Nicobar,85,85. All women age 15-19 years who are anaemic22 (%),48.0,66.2,-18.2
Andaman and Nicobar Island,AN,Nicobar,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),7.4,,
Andaman and Nicobar Island,AN,Nicobar,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),3.9,,
Andaman and Nicobar Island,AN,Nicobar,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),13.1,,
Andaman and Nicobar Island,AN,Nicobar,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),9.6,,
Andaman and Nicobar Island,AN,Nicobar,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),4.4,,
Andaman and Nicobar Island,AN,Nicobar,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),15.4,,
Andaman and Nicobar Island,AN,Nicobar,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.2,,
Andaman and Nicobar Island,AN,Nicobar,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5,,
